"Here are the results! We had 97 competitors for the Event, and 39 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
17,TO,STS,Ben Clement,95 Acura/Integra GSR,82.418, ,74.307,(2),73.645,(2),DNS, ,73.645, ,58.253, ,914,,,,
18,TO,AS,Jeff Williams,02 BMW/M Roadster,70.490, ,94.993,(22),73.441,(4),DNS, ,70.490, ,58.366, ,912,,,,
19,TO,SM2,Keith Lensch,98 chevrolet/corvette,70.150, ,69.342, ,68.973, ,DNS, ,68.973, ,58.558, ,909,,,,
20,TO,BS,Rob Rockefeller,00 Honda/S2000,71.692, ,71.503, ,81.255,(10),DNS, ,71.503, ,59.061, ,901,,,,
21,TO,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,67.330, ,64.766, ,65.109, ,DNS, ,64.766, ,59.131, ,900,,,,
22,TO,STX,Lee Mayer,95 VW/Jetta,75.216, ,80.907,(4),76.644,(2),DNS, ,75.216, ,59.797, ,890,,,,
23,TO,EM,Tom Hill,88 Pontiac/Cadero,67.986, ,66.935, ,70.405,(2),DNS, ,66.935, ,59.840, ,889,,,,
24,TO,DS,Jamal Brewer,04 Dodge/SRT-4,81.340,(4),75.411, ,77.793,(2),DNS, ,75.411, ,59.876, ,889,,,,
25,TO,ASP,Stephen Peterson,1 Chev/Vette,72.708, ,75.935,(4),70.662, ,DNS, ,70.662, ,59.921, ,888,,,,
26,TO,AS,Steve Ryan,91 Chevrolet/Corvette,73.088,(2),72.955,(4),72.631,(4),DNS, ,72.631, ,60.138, ,885,,,,
27,TO,ASP,Steve Burger,01 Chev/Corvette,71.206,(2),76.290,(6),DNF, ,DNS, ,71.206, ,60.383, ,881,,,,
28,TO,EM,Greg Duncan,84 Pontiac/Fiero,DNS, ,DNS, ,68.076, ,DNS, ,68.076, ,60.860, ,874,,,,
29,TO,CS,Siho Lee,02 Toyota/MR2 Spyder,75.344, ,105.577, ,76.365,(2),DNS, ,75.344, ,61.104, ,871,,,,
30,TO,AS,Chris Groppi,04 Subaru/WRX STi,76.829,(2),74.964,(2),77.961,(4),DNS, ,74.964, ,62.070, ,857,,,,
31,TO,CS,Zach Heidepriem,96 Toyota/MR2 Spyder,83.596,(2),77.139, ,83.655,(4),DNS, ,77.139, ,62.560, ,851,,,,
32,TO,HS,Michael Woodard,89 Honda/Accord,84.007, ,82.708, ,81.586, ,DNS, ,81.586, ,63.311, ,841,,,,
33,TO,SM,Jimmy Cantano,98 Acura/Integra,75.827, ,95.119,(20),85.804,(2),DNS, ,75.827, ,63.543, ,838,,,,
34,TO,BS,Greg Mondeau,00 BMW/M coupe,78.196, ,76.934, ,77.137, ,DNS, ,76.934, ,63.547, ,837,,,,
35,TO,CS,Ian Bennett,91 Mazda/RX-7,79.812, ,78.612, ,80.478, ,79.289, ,78.612, ,63.754, ,835,,,,
36,TO,ASP,Gregory Brewer,90 Nissan/300ZX Twin Turbo,77.716, ,79.585,(2),79.309, ,DNS, ,77.716, ,65.903, ,808,,,,
37,TO,AS,Lorena Porter,02 BMW/M Roadster,84.102,(4),DNF, ,80.832,(2),DNS, ,80.832, ,66.929, ,795,,,,
38,TO,SM,Alan Monkawa,87 Mazda/RX-7,94.705,(20),DNF, ,92.585,(20),DNS, ,92.585, ,77.586, ,686,,,,
39,TO,EM,Bill Schroeder,91 Ford/Mustang GT,94.453,(24),92.792,(22),90.281,(20),DNS, ,90.281, ,80.711, ,659,,,,
