"Here are the results! We had 64 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
22,TO,GS,Manfred Reysser,01 Toyota/Celica GT,63.280, ,67.310,(4),65.905,(2),DNS, ,DNS, ,63.280, ,50.244, ,896
23,TO,SS,Elvis Presley,05 Lotus/Elise,63.031,(4),61.899,(2),59.854, ,DNS, ,DNS, ,59.854, ,50.277, ,896
24,TO,EM,Bill Bradley,05 brunton/stalker (lotus 7 type),59.138, ,57.331, ,79.419,(22),57.320, ,57.135, ,57.135, ,50.336, ,895
25,TO,CSP,Joel Rhode,84 Honda/CRX,61.489, ,61.128, ,61.800, ,60.127, ,63.480,(2),60.127, ,50.386, ,894
26,TO,DS,Scott Douglas,06 Subaru/Impreza WRX,64.980, ,64.086, ,67.013,(2),63.628, ,63.224, ,63.224, ,50.453, ,892
27,TO,CS,John Ellis,03 Mazda/Miata,64.279, ,63.711, ,62.486, ,62.554, ,62.425, ,62.425, ,50.752, ,887
28,TO,SM2,Jeremy Stein,71 Datsun/240Z,65.972,(4),60.065, ,60.535, ,59.729, ,61.923,(2),59.729, ,51.009, ,883
29,TO,STS,Michael Lindt,04 Chevy/Cavalier,93.882,(26),64.222, ,71.018,(6),DNS, ,DNS, ,64.222, ,51.185, ,880
30,TO,BSP,John Lawson,03 Nissan/350Z,61.596,(2),62.819,(4),DNF, ,60.758,(2),61.365,(2),60.758, ,51.219, ,879
31,TO,ESP,Matt Evans,98 Ford/Mustang,63.425, ,77.506, ,62.816, ,63.026, ,62.530, ,62.530, ,51.775, ,870
32,TO,HS,Chris Elofson,85 Isuzu/Impulse,71.450,(4),75.093,(6),68.473, ,86.026,(20),66.902, ,66.902, ,52.184, ,863
33,TO,CSP,Carlos Murphy,84 honda/CRX dx,66.924, ,64.612, ,63.867, ,DNS, ,62.664, ,62.664, ,52.512, ,857
34,TO,GS,Michael Cirello,97 Mitsubishi/Eclipse,68.249, ,68.425, ,66.240, ,66.543, ,DNS, ,66.240, ,52.595, ,856
35,TO,AS,Stuart Anderson,04 Porsche/Boxster,67.537,(4),67.011,(2),84.021,(20),64.516, ,64.790,(2),64.516, ,53.613, ,840
36,TO,AS,Mark Wilson,00 Chevrolet/Camaro,65.508, ,66.846, ,67.351,(2),64.679, ,65.545, ,64.679, ,53.748, ,838
37,TO,SM2,Greg Mondeau,00 BMW/M coupe,67.365, ,67.431, ,66.441, ,66.308, ,66.070, ,66.070, ,56.424, ,798
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
